Meetjaar,WaterbeheerderCode,WaterbeheerderNaam,Namespace,Identificatie,MeetobjectCode,Omschrijving,GeometriePuntX_RD,GeometriePuntY_RD,KRWwatertypeCode,KRWwatertypeOmschrijving,WatergangCategorieCode,WatergangCategorieOmschrijving,HoortbijGeoobjectIdentificatie,Wegingsfactor,LigtInGeoobjectIdentificatie,PublicatieDatumTijd,cluster_id,cluster_prob,relevant,Naam,Grootte,Eerste aanplant,distance_m
2023,27,Waterschap De Dommel,NL27,E206-1,NL27_E206-1,Broekleij_PARALLEL AAN DE IJZEREN MAN TE VUGHT,145686.0,407312.0,M1a,Zoete gebufferde sloten,,,NL27_240129,1.0,,2024-06-21T11:04:07+02:00,84,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E206-2,NL27_E206-2,BIJ_MONDING_IN_DE_BROEKLEIJ,144946.0,404363.0,M1a,Zoete gebufferde sloten,,,,1.0,,2024-06-21T11:04:07+02:00,99,0.5840514078833209,False,,,,
2023,27,Waterschap De Dommel,NL27,E206-3,NL27_E206-3,BENEDENSTROOM_DE_GROENSTRAAT_HAAREN,144619.0,402758.0,M1a,Zoete gebufferde sloten,,,,1.0,,2024-06-21T11:04:07+02:00,-1,0.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E206-4,NL27_E206-4,Broekleij_IN HELVOIRTS BROEK,146287.0,403512.0,M1a,Zoete gebufferde sloten,,,NL27_240129,1.0,,2024-06-21T11:04:07+02:00,-1,0.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E206-5,NL27_E206-5,"Broekleij_BENEDENSTROOMS N65, HELVOIRT",144904.0,404951.0,M1a,Zoete gebufferde sloten,,,NL27_240129,1.0,,2024-06-21T11:04:07+02:00,99,0.7042635333903916,False,,,,
2023,27,Waterschap De Dommel,NL27,E22-1,NL27_E22-1,Dommel_BIJ DE ACHTERSTEBRUG TE BORKEL EN SCHAFT,158599.0,365741.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240011,1.0,,2024-06-21T11:04:07+02:00,9,0.9535817180180636,False,,,,
2023,27,Waterschap De Dommel,NL27,E22-10,NL27_E22-10,Dommel_BIJ OUDE STUW POTERSEIND BORKEL EN SCHAFT,159592.0,368460.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240011,1.0,,2024-06-21T11:04:07+02:00,9,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E22-11,NL27_E22-11,Dommel_BOVENSTROOMS DE PEEDIJK BORKEL EN SCHAFT,158602.0,366705.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240011,1.0,,2024-06-21T11:04:07+02:00,9,0.9535817180180636,False,,,,
2023,27,Waterschap De Dommel,NL27,E22-2,NL27_E22-2,Dommel_BENEDENSTROOMS DORPSSTRAAT BORKEL EN SCHAFT,159432.0,367823.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240011,1.0,,2024-06-21T11:04:07+02:00,9,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E22-3,NL27_E22-3,"Dommel_NABIJ GROOT MALPIEVEN, MALPIEHEIDE",159758.0,369491.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240011,1.0,,2024-06-21T11:04:07+02:00,9,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E22-4,NL27_E22-4,Dommel_BIJ MOLENVEN BOVENSTROOMS VENBERGSE WATERMOLEN,159062.0,371674.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240011,1.0,,2024-06-21T11:04:07+02:00,63,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E22-6,NL27_E22-6,Dommel_STROOMAFWAARDS VAN DE N69 BIJ VALKENSWAARD,158909.0,372369.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240011,1.0,,2024-06-21T11:04:07+02:00,63,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E22-7,NL27_E22-7,Dommel_BOVENSTROOMS DE LOONDERWEG,158418.0,375288.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240011,1.0,,2024-06-21T11:04:07+02:00,78,0.6998892928842111,False,,,,
2023,27,Waterschap De Dommel,NL27,E22-8,NL27_E22-8,Dommel_BENEDENSTROOMS PEEDIJK BORKEL EN SCHAFT,158695.0,367013.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240011,1.0,,2024-06-21T11:04:07+02:00,9,0.9535817180180636,False,,,,
2023,27,Waterschap De Dommel,NL27,E22-9,NL27_E22-9,Dommel_BENEDENSTROOMS DOMMELSCHE WATERMOLEN,158632.0,373631.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,NL27_240011,1.0,,2024-06-21T11:04:07+02:00,-1,0.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E23-1,NL27_E23-1,Keersop_BENEDENSTROOMS VALENTINUSKAPEL WESTERHOVEN,156979.0,371725.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,79,0.2484028404006958,False,,,,
2023,27,Waterschap De Dommel,NL27,E23-3,NL27_E23-3,Keersop_BOELLEBUSSEWEG WESTERHOVEN,155528.0,370901.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,79,0.3402950385869075,False,,,,
2023,27,Waterschap De Dommel,NL27,E23-4,NL27_E23-4,Keersop Vispassage Westerhoven_VISTRAP WESTERHOVEN,156015.0,371176.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,79,1.0,False,,,,
