Meetjaar;WaterbeheerderCode;WaterbeheerderNaam;Namespace;Identificatie;MeetobjectCode;Omschrijving;GeometriePuntX_RD;GeometriePuntY_RD;KRWwatertypeCode;KRWwatertypeOmschrijving;WatergangCategorieCode;WatergangCategorieOmschrijving;HoortbijGeoobjectIdentificatie;Wegingsfactor;LigtInGeoobjectIdentificatie;PublicatieDatumTijd
2023;25;Waterschap Brabantse Delta;NL25;100003;NL25_100003;100 M BO BRUG RW BREDA-GORINCHEM;119630.0000;404646.0000;M6b;Grote ondiepe kanalen met scheepvaart;A;Primaire watergang (categorie A);;;;2024-06-27T13:33:13+02:00
2023;25;Waterschap Brabantse Delta;NL25;100009;NL25_100009;T.H.V. GOORSTRAAT, 150M BE.SAMENSTR.;117560.0000;407180.0000;;;A;Primaire watergang (categorie A);;;;2024-06-27T13:33:13+02:00
2023;25;Waterschap Brabantse Delta;NL25;100018;NL25_100018;WILHELMINAKANAAL THV BREDE HEISTRAAT;120908.0000;404296.0000;M6b;Grote ondiepe kanalen met scheepvaart;;;;;;2024-06-27T13:33:13+02:00
2023;25;Waterschap Brabantse Delta;NL25;105004;NL25_105004;SCHAATSBAAN BIJ SLOTBOSSE TOREN;118600.0000;407600.0000;;;;;;;;2024-06-27T13:33:13+02:00
2023;25;Waterschap Brabantse Delta;NL25;105102;NL25_105102;BIJ WANDELPAD VEST OOST;118713.0000;412902.0000;M11;Kleine ondiepe gebufferde plassen;B;Secundaire watergang (categorie B);;;;2024-06-27T13:33:13+02:00
2023;25;Waterschap Brabantse Delta;NL25;105103;NL25_105103;VEST ZUIDWEST VANAF VISSTEIGER;117997.0000;412453.0000;M11;Kleine ondiepe gebufferde plassen;B;Secundaire watergang (categorie B);;;;2024-06-27T13:33:13+02:00
2023;25;Waterschap Brabantse Delta;NL25;105104;NL25_105104;VEST, COMMANDEURSTRAAT;118169.0000;412443.0000;M11;Kleine ondiepe gebufferde plassen;B;Secundaire watergang (categorie B);;;;2024-06-27T13:33:13+02:00
2023;25;Waterschap Brabantse Delta;NL25;105201;NL25_105201;VIJVER HOEK LIJSTERBESSTRAAT OMSCHOORWEG RAAMSDONKVEER;120191.0000;412027.0000;;;;;;;;2024-06-27T13:33:13+02:00
2023;25;Waterschap Brabantse Delta;NL25;110001;NL25_110001;NABIJ AFLAATWERK WILHELMINAKANAAL;127036.0000;401240.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2024-06-27T13:33:13+02:00
2023;25;Waterschap Brabantse Delta;NL25;110002;NL25_110002;DUIKER OUDE RIJKSWEG BREDA-TILBURG;127252.0000;397524.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2024-06-27T13:33:13+02:00
2023;25;Waterschap Brabantse Delta;NL25;110014;NL25_110014;OUDE LEIJ, STICHTING AMARANT TILBURG;128406.0000;396075.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2024-06-27T13:33:13+02:00
2023;25;Waterschap Brabantse Delta;NL25;110025;NL25_110025;ON-LINE MEETSTATION WILHELMINAKANAAL;130677.0000;399226.0000;;;;;;;;2024-06-27T13:33:13+02:00
2023;25;Waterschap Brabantse Delta;NL25;110026;NL25_110026;OUDE LEIJ - VOOR UITSTROOM BLAAK/KEISTOEP _ N A58;129529.0000;394608.0000;R19;Doorstroommoeras;;;;;;2024-06-27T13:33:13+02:00
