Meetjaar;WaterbeheerderCode;WaterbeheerderNaam;Namespace;Identificatie;MeetobjectCode;Omschrijving;GeometriePuntX_RD;GeometriePuntY_RD;KRWwatertypeCode;KRWwatertypeOmschrijving;WatergangCategorieCode;WatergangCategorieOmschrijving;HoortbijGeoobjectIdentificatie;Wegingsfactor;LigtInGeoobjectIdentificatie;PublicatieDatumTijd
2018;25;Waterschap Brabantse Delta;NL25;100003b;NL25_100003b;Wilhelminakanaal 100m bo brug rw breda-gorinchem;119630.0000;404646.0000;M6b;Grote ondiepe kanalen met scheepvaart;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;110001b;NL25_110001b;Donge-DON1 nabij aflaatwerk Wilhelminakanaal;127036.0000;401240.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;110002b;NL25_110002b;Oude Leij- OUL3 duiker oude rijksweg Breda-Tilburg;127252.0000;397524.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;NL25_DO_590801;0.33;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;110021;NL25_110021;KOLKMONSTERPUNT BERKELVIJVER;131666.0000;395594.0000;;;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;110022;NL25_110022;AFVOERGOOTMONSTERPUNT BERKELVIJVER;131660.0000;395572.0000;;;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;110023;NL25_110023;AFVOERGOOTMONSTERPUNT WORMVIJVER;131486.0000;395091.0000;;;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;110024;NL25_110024;REGGEVIJVER BLAAK TILBURG;131612.0000;395587.0000;;;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;120017b;NL25_120017b;Leemputten Dorst- noordelijke ven nwe leemputten;119400.0000;401650.0000;M12;Kleine ondiepe zwak gebufferde plassen (vennen);O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;120018b;NL25_120018b;Leemputten Dorst- zuidelijke ven nwe leemputten;119530.0000;401400.0000;M12;Kleine ondiepe zwak gebufferde plassen (vennen);O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;130006b;NL25_130006b;Leij-LEI7 BO Duiker in Rielse Hoefke Alphen;129410.0000;390823.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;NL25_DO_590801;0.34;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;130145;NL25_130145;RIELHOEF;129424.0000;390784.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;202432;NL25_202432;ZWEMZONE, ONDIEP GED. NW-HOEK, 10 M VAN STRAND;110903.0000;404386.0000;M11;Kleine ondiepe gebufferde plassen;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;202801b;NL25_202801b;Zwanengat- brug in Kuringen Zevenbergen;100730.0000;406060.0000;M1a;Zoete gebufferde sloten;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;202803b;NL25_202803b;Afw- Langeweg- sloot km 14-4 Langeweg te Langeweg;105800.0000;407260.0000;M1a;Zoete gebufferde sloten;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;203503b;NL25_203503b;Afw Oude Appelaar OAP1 Sloot afrit tnv Oude Appelaardijk;90957.0000;403684.0000;M1b;Niet-zoete gebufferde sloten;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;203504b;NL25_203504b;Afw Sabina Henricapolder SAB1 Bermsloot aan Sabinaweg;86630.0000;409380.0000;M1b;Niet-zoete gebufferde sloten;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;203601;NL25_203601;BIJ GEMAAL OUDE PRINSENL. POLDER;85420.0000;405370.0000;M30;Zwak brakke wateren;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;203602b;NL25_203602b;De Barend BAR4 Bloemendijk tzv Dinteloord;82509.0000;403590.0000;M30;Zwak brakke wateren;O;Overige watergangen;NL25_MK_203607;0.4;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;203604;NL25_203604;DUIKER IN ZUID LANGE WEG;86978.0000;402602.0000;M30;Zwak brakke wateren;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;203607b;NL25_203607b;Potmarkreek POT1 50m tov Steenb w Doord thv km 112;85402.0000;403110.0000;M30;Zwak brakke wateren;O;Overige watergangen;NL25_MK_203607;0.6;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;210849;NL25_210849;UITSTROOM TURFVAART - BIJLOOP, BRUG MASTBOSSTRAAT, BREDA;110361.0000;397825.0000;R19;Doorstroommoeras;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;221604;NL25_221604;BRUG IN ETTENSEBAAN (RIJSBERGEN);104400.0000;393020.0000;R19;Doorstroommoeras;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;310105b;NL25_310105b;Smalle Beek SMA1 zijweg van Heerleseweg bij stuw t Sas;84977.0000;395560.0000;M3;Gebufferde (regionale) kanalen;O;Overige watergangen;NL25_CK_390111;0.2;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;310201b;NL25_310201b;Ligne LIG2 Duiker in Olmendreef Steenbergen;79774.0000;399395.0000;M10;Laagveen vaarten en kanalen;O;Overige watergangen;NL25_LI_310201;0.5;;2023-06-19T13:17:18+02:00
2018;25;Waterschap Brabantse Delta;NL25;310202b;NL25_310202b;Ligne LIG7 duiker in Doodlopende Laagweg;80718.0000;395721.0000;M10;Laagveen vaarten en kanalen;O;Overige watergangen;NL25_LI_310201;0.5;;2023-06-19T13:17:18+02:00
