Meetjaar;WaterbeheerderCode;WaterbeheerderNaam;Namespace;Identificatie;MeetobjectCode;Omschrijving;GeometriePuntX_RD;GeometriePuntY_RD;KRWwatertypeCode;KRWwatertypeOmschrijving;WatergangCategorieCode;WatergangCategorieOmschrijving;HoortbijGeoobjectIdentificatie;Wegingsfactor;LigtInGeoobjectIdentificatie;PublicatieDatumTijd
2024;25;Waterschap Brabantse Delta;NL25;100002;NL25_100002;BRUG IN MAASROUTE;117360.0000;410180.0000;M6b;Grote ondiepe kanalen met scheepvaart;;;;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;100003;NL25_100003;100 M BO BRUG RW BREDA-GORINCHEM;119630.0000;404646.0000;M6b;Grote ondiepe kanalen met scheepvaart;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;100009;NL25_100009;T.H.V. GOORSTRAAT, 150M BE.SAMENSTR.;117560.0000;407180.0000;M6b;Grote ondiepe kanalen met scheepvaart;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;100018;NL25_100018;WILHELMINAKANAAL THV BREDE HEISTRAAT;120908.0000;404296.0000;M6b;Grote ondiepe kanalen met scheepvaart;;;;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;105004;NL25_105004;SCHAATSBAAN BIJ SLOTBOSSE TOREN;118600.0000;407600.0000;;;;;;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;105102;NL25_105102;BIJ WANDELPAD VEST OOST;118713.0000;412902.0000;M11;Kleine ondiepe gebufferde plassen;B;Secundaire watergang (categorie B);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;105103;NL25_105103;VEST ZUIDWEST VANAF VISSTEIGER;117997.0000;412453.0000;M11;Kleine ondiepe gebufferde plassen;B;Secundaire watergang (categorie B);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;105104;NL25_105104;VEST, COMMANDEURSTRAAT;118169.0000;412443.0000;M11;Kleine ondiepe gebufferde plassen;B;Secundaire watergang (categorie B);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;105201;NL25_105201;VIJVER HOEK LIJSTERBESSTRAAT OMSCHOORWEG RAAMSDONKVEER;120191.0000;412027.0000;M11;Kleine ondiepe gebufferde plassen;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;110001;NL25_110001;NABIJ AFLAATWERK WILHELMINAKANAAL;127036.0000;401240.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;110002;NL25_110002;DUIKER OUDE RIJKSWEG BREDA-TILBURG;127252.0000;397524.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;110025;NL25_110025;ON-LINE MEETSTATION WILHELMINAKANAAL;130677.0000;399226.0000;M6b;Grote ondiepe kanalen met scheepvaart;;;;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;120001;NL25_120001;DUIKER OUDE RIJKSWEG BREDA-TILBURG;124765.0000;398328.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;120003;NL25_120003;TOEGANG NOORDZIJDE;125018.0000;390150.0000;M12;Kleine ondiepe zwak gebufferde plassen (vennen);O;Overige watergangen;;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;120006;NL25_120006;SURAE STEIGER WESTZIJDE;119702.0000;400914.0000;M12;Kleine ondiepe zwak gebufferde plassen (vennen);C;Tertiaire watergang (categorie C);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;120012;NL25_120012;MIDDENOP V.A. STEIGER (ALPHEN/RIEL);124667.0000;390045.0000;M12;Kleine ondiepe zwak gebufferde plassen (vennen);;;;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;120017;NL25_120017;NOORDELIJKE VEN NWE LEEMPUTTEN;119400.0000;401650.0000;M12;Kleine ondiepe zwak gebufferde plassen (vennen);C;Tertiaire watergang (categorie C);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;120018;NL25_120018;ZUIDELIJKE VEN NWE LEEMPUTTEN;119530.0000;401400.0000;M12;Kleine ondiepe zwak gebufferde plassen (vennen);C;Tertiaire watergang (categorie C);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;120031;NL25_120031;'T ZAND, STRAND WEST;124611.0000;390128.0000;M12;Kleine ondiepe zwak gebufferde plassen (vennen);O;Overige watergangen;;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;120040;NL25_120040;GROOTE LEIJ LANGS N260 THV SCHAAPSDIJK;124881.0000;394257.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;;;;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;130006;NL25_130006;BO.DUIKER IN RIELS HOEFKE (ALPHEN);129410.0000;390823.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;130010;NL25_130010;DUIKER BOSP.HALVE MAANVEN (GOIRLE);129480.0000;389180.0000;R3;Droogvallende langzaam stromende bovenloop op zand;;;;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;130022;NL25_130022;BENEDEN STUW NABIJ RWZI RIEL;130226.0000;393510.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;190501;NL25_190501;VOOR GEMAAL HORSTEN (NEGENMORGEN);117647.0000;409536.0000;M3;Gebufferde (regionale) kanalen;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;190505;NL25_190505;PLAS EINDE HERSTELWEG;116680.0000;409800.0000;M11;Kleine ondiepe gebufferde plassen;C;Tertiaire watergang (categorie C);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;190518;NL25_190518;MEETPUNT 190518 NABIJ INNOVATIEPARK;116425.0000;409827.0000;M1a;Zoete gebufferde sloten;;;;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;190519;NL25_190519;MEETPUNT 190519 NABIJ INNOVATIEPARK;116522.0000;409863.0000;M1a;Zoete gebufferde sloten;;;;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;190520;NL25_190520;MEETPUNT 190520 NABIJ INNOVATIEPARK;116789.0000;409944.0000;M1a;Zoete gebufferde sloten;;;;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;190521;NL25_190521;MEETPUNT 190521 NABIJ INNOVATIEPARK;116980.0000;410025.0000;M1a;Zoete gebufferde sloten;;;;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;200001;NL25_200001;BRUG IN WEG DINTELOORD-HEIJNINGEN;86078.0000;406719.0000;R6;Langzaam stromend riviertje op zand/klei;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;200003;NL25_200003;BRUG IN AUTOWEG ROOSENDAAL-MOERDIJK;93651.0000;402596.0000;R6;Langzaam stromend riviertje op zand/klei;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;200016;NL25_200016;STEIGER ZUID-WESTZIJDE;101756.0000;404620.0000;M11;Kleine ondiepe gebufferde plassen;C;Tertiaire watergang (categorie C);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;200020;NL25_200020;PASSANTENHAVEN NIEUWE MARK BREDA;112408.0000;400271.0000;R6;Langzaam stromend riviertje op zand/klei;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;200023;NL25_200023;thv Academiesingel - Nw.Prinsenkade, oost van;112310.0000;400568.0000;R6;Langzaam stromend riviertje op zand/klei;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;200029;NL25_200029;BE.WEG PRINSENBEEK-Z.BERGEN KM 14,6;102807.0000;404277.0000;R6;Langzaam stromend riviertje op zand/klei;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;200038;NL25_200038;THV KENNEDYBRUG;113020.0000;400600.0000;R6;Langzaam stromend riviertje op zand/klei;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;200066;NL25_200066;ON-LINE MEETSTATION PRINSLANDSE BRUG;86075.0000;406713.0000;R6;Langzaam stromend riviertje op zand/klei;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
2024;25;Waterschap Brabantse Delta;NL25;200067;NL25_200067;ON-LINE MEETSTATION MARKSPOORBRUG ZEVENBERGEN;100027.0000;404227.0000;R6;Langzaam stromend riviertje op zand/klei;A;Primaire watergang (categorie A);;;;2025-04-02T14:55:45+02:00
