Meetjaar;WaterbeheerderCode;WaterbeheerderNaam;Namespace;Identificatie;MeetobjectCode;Omschrijving;GeometriePuntX_RD;GeometriePuntY_RD;KRWwatertypeCode;KRWwatertypeOmschrijving;WatergangCategorieCode;WatergangCategorieOmschrijving;HoortbijGeoobjectIdentificatie;Wegingsfactor;LigtInGeoobjectIdentificatie;PublicatieDatumTijd
2021;25;Waterschap Brabantse Delta;NL25;100002;NL25_100002;BRUG IN MAASROUTE;117360.0000;410180.0000;M6b;Grote ondiepe kanalen met scheepvaart;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;100003;NL25_100003;100 M BO BRUG RW BREDA-GORINCHEM;119630.0000;404646.0000;M6b;Grote ondiepe kanalen met scheepvaart;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;100009;NL25_100009;T.H.V. GOORSTRAAT, 150M BE.SAMENSTR.;117560.0000;407180.0000;;;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;100017;NL25_100017;EFFLUENT PILOT DEFOSFATERING JACHTHAVEN WATERSPORTVERENIGING;118862.0000;412863.0000;;;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;105102;NL25_105102;BIJ WANDELPAD VEST OOST;118713.0000;412902.0000;M11;Kleine ondiepe gebufferde plassen;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;105103;NL25_105103;VEST ZUIDWEST VANAF VISSTEIGER;117997.0000;412453.0000;M11;Kleine ondiepe gebufferde plassen;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;105104;NL25_105104;VEST, COMMANDEURSTRAAT;118169.0000;412443.0000;M11;Kleine ondiepe gebufferde plassen;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;105105;NL25_105105;JACHTHAVEN THV  WATERINLAAT VESTE;118898.0000;412873.0000;;;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;110001;NL25_110001;NABIJ AFLAATWERK WILHELMINAKANAAL;127036.0000;401240.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;110002;NL25_110002;DUIKER OUDE RIJKSWEG BREDA-TILBURG;127252.0000;397524.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;110025;NL25_110025;ON-LINE MEETSTATION WILHELMINAKANAAL;130675.0000;399203.0000;;;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;120001;NL25_120001;DUIKER OUDE RIJKSWEG BREDA-TILBURG;124765.0000;398328.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;120003;NL25_120003;TOEGANG NOORDZIJDE;125018.0000;390150.0000;M12;Kleine ondiepe zwak gebufferde plassen (vennen);;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;120006;NL25_120006;STEIGER WESTZIJDE;119702.0000;400914.0000;M12;Kleine ondiepe zwak gebufferde plassen (vennen);;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;120012;NL25_120012;MIDDENOP V.A. STEIGER (ALPHEN/RIEL);124667.0000;390045.0000;M12;Kleine ondiepe zwak gebufferde plassen (vennen);;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;120017;NL25_120017;NOORDELIJKE VEN NWE LEEMPUTTEN;119400.0000;401650.0000;M12;Kleine ondiepe zwak gebufferde plassen (vennen);;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;120018;NL25_120018;ZUIDELIJKE VEN NWE LEEMPUTTEN;119530.0000;401400.0000;M12;Kleine ondiepe zwak gebufferde plassen (vennen);;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;120031;NL25_120031;'T ZAND, STRAND WEST;124611.0000;390128.0000;M12;Kleine ondiepe zwak gebufferde plassen (vennen);;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;130006;NL25_130006;BO.DUIKER IN RIELS HOEFKE (ALPHEN);129410.0000;390823.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;130010;NL25_130010;DUIKER BOSP.HALVE MAANVEN (GOIRLE);129480.0000;389180.0000;R3;Droogvallende langzaam stromende bovenloop op zand;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;130022;NL25_130022;BENEDEN STUW NABIJ RWZI RIEL;130226.0000;393510.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;190403;NL25_190403;KROMGAT LOCATIE RECHTS VAN DE BRUG;119071.0000;409831.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;190404;NL25_190404;KROMGAT LOCATIE LINKS VAN DE BRUG;118783.0000;409911.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;190501;NL25_190501;VOOR GEMAAL HORSTEN (NEGENMORGEN);117647.0000;409536.0000;M3;Gebufferde (regionale) kanalen;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200001;NL25_200001;BRUG IN WEG DINTELOORD-HEIJNINGEN;86078.0000;406719.0000;R6;Langzaam stromend riviertje op zand/klei;A;Primaire watergang (categorie A);;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200003;NL25_200003;BRUG IN AUTOWEG ROOSENDAAL-MOERDIJK;93651.0000;402596.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200016;NL25_200016;STEIGER ZUID-WESTZIJDE;101756.0000;404620.0000;M11;Kleine ondiepe gebufferde plassen;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200020;NL25_200020;PASSANTENHAVEN NIEUWE MARK BREDA;112408.0000;400271.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200023;NL25_200023;thv Academiesingel - Nw.Prinsenkade, oost van;112310.0000;400568.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200023_V1;NL25_200023_V1;thv Academiesingel - Nw.Prinsenkade, oost van;112310.0000;400568.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200023_V2;NL25_200023_V2;thv Academiesingel - Nw.Prinsenkade, oost van;112310.0000;400568.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200023_V3;NL25_200023_V3;thv Academiesingel - Nw.Prinsenkade, oost van;112310.0000;400568.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200023_V4;NL25_200023_V4;thv Academiesingel - Nw.Prinsenkade, oost van;112310.0000;400568.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200023_V5;NL25_200023_V5;thv Academiesingel - Nw.Prinsenkade, oost van;112310.0000;400568.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200023_V6;NL25_200023_V6;thv Academiesingel - Nw.Prinsenkade, oost van;112310.0000;400568.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200023_V7;NL25_200023_V7;thv Academiesingel - Nw.Prinsenkade, oost van;112310.0000;400568.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200023_V8;NL25_200023_V8;thv Academiesingel - Nw.Prinsenkade, oost van;112310.0000;400568.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200029;NL25_200029;BE.WEG PRINSENBEEK-Z.BERGEN KM 14,6;102807.0000;404277.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200039;NL25_200039;MARK BREDA BIJ DE BRUG WILLEMSTRAAT;112857.0000;400612.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200066;NL25_200066;ON-LINE MEETSTATION PRINSLANDSE BRUG;86082.0000;406720.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200067;NL25_200067;ON-LINE MEETSTATION MARKSPOORBRUG ZEVENBERGEN;100027.0000;404223.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200070;NL25_200070;MIDDEN VAARGEUL HAVENBOCHT THV MARKSTRAAT 59;110650.0000;406059.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200070_1M;NL25_200070_1M;MIDDEN VAARGEUL HAVENBOCHT THV MARKSTRAAT 59;110650.0000;406059.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200070_2M;NL25_200070_2M;MIDDEN VAARGEUL HAVENBOCHT THV MARKSTRAAT 59;110650.0000;406059.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200071;NL25_200071;MIDDEN VAARGEUL HAVEN NABIJ MONDING THV BRABANTSTRAAT 35;110587.0000;405977.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200071_2M;NL25_200071_2M;MIDDEN VAARGEUL HAVEN NABIJ MONDING THV BRABANTSTRAAT 35;110587.0000;405977.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200071_3M;NL25_200071_3M;MIDDEN VAARGEUL HAVEN NABIJ MONDING THV BRABANTSTRAAT 35;110587.0000;405977.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200072;NL25_200072;MIDDEN STROOMGEUL MARK 100M BENEDENSTROOMS HAVEN THV BASTION;110441.0000;406004.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200072_2M;NL25_200072_2M;MIDDEN STROOMGEUL MARK 100M BENEDENSTROOMS HAVEN THV BASTION;110441.0000;406004.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200072_3M;NL25_200072_3M;MIDDEN STROOMGEUL MARK 100M BENEDENSTROOMS HAVEN THV BASTION;110441.0000;406004.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200073;NL25_200073;REFERENTIE MIDDEN STROOMGEUL MARK 200M BOVENSTROOMS HAVEN TH;110736.0000;405796.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200073_2M;NL25_200073_2M;REFERENTIE MIDDEN STROOMGEUL MARK 200M BOVENSTROOMS HAVEN TH;110736.0000;405796.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200073_3M;NL25_200073_3M;REFERENTIE MIDDEN STROOMGEUL MARK 200M BOVENSTROOMS HAVEN TH;110736.0000;405796.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200301;NL25_200301;STEIGER ZUID-WESTZIJDE;107721.0000;403839.0000;M16;Diepe gebufferde meren;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200303;NL25_200303;OEVERZONE, BUITEN ZWEMZ.(PR.BEEK);107750.0000;403980.0000;M16;Diepe gebufferde meren;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200323;NL25_200323;MANDJE 4 TEN OOSTEN BOOTHELLING;108032.0000;403731.0000;M16;Diepe gebufferde meren;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200334;NL25_200334;NET 3 AAN NOORDWESTHOEK VAN DE KUIL;107823.0000;404180.0000;M16;Diepe gebufferde meren;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200339;NL25_200339;OOSTOEVER MIDDEN PLAS;107942.0000;403978.0000;M16;Diepe gebufferde meren;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;200607;NL25_200607;Brug Willem Dreessingel;103214.0000;399703.0000;;;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;202403;NL25_202403;STRAND;110906.0000;404429.0000;M11;Kleine ondiepe gebufferde plassen;;;;;;2022-07-05T13:33:00+02:00
2021;25;Waterschap Brabantse Delta;NL25;202603;NL25_202603;ZWEMWATERMEETPUNT;104266.0000;401115.0000;M16;Diepe gebufferde meren;;;;;;2022-07-05T13:33:00+02:00
