Meetjaar;WaterbeheerderCode;WaterbeheerderNaam;Namespace;Identificatie;MeetobjectCode;Omschrijving;GeometriePuntX_RD;GeometriePuntY_RD;KRWwatertypeCode;KRWwatertypeOmschrijving;WatergangCategorieCode;WatergangCategorieOmschrijving;HoortbijGeoobjectIdentificatie;Wegingsfactor;LigtInGeoobjectIdentificatie;PublicatieDatumTijd
2016;27;Waterschap De Dommel;NL27;144305;NL27_144305;EINDHOVENS KANAAL;171765.0000;384822.0000;M6a;Grote ondiepe kanalen zonder scheepvaart;O;Overige watergangen;NL27_244171;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;144305_mp;NL27_144305_mp;EINDHOVENS KANAAL;171765.0000;384822.0000;M6a;Grote ondiepe kanalen zonder scheepvaart;O;Overige watergangen;NL27_244171;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;200050;NL27_200050;RWZI BOXTEL;151022.0000;402226.0000;;;O;Overige watergangen;;;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;206050;NL27_206050;RWZI SINT OEDENRODE;158970.0000;396972.0000;;;O;Overige watergangen;;;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;207050;NL27_207050;RWZI HAAREN;143606.0000;399741.0000;;;O;Overige watergangen;;;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;240030;NL27_240030;KEUNISLOOP;153558.0000;365406.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;;;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250014_mp;NL27_250014_mp;TONGELREEP;162249.3000;369414.3000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250015_mp;NL27_250015_mp;TONGELREEP;161284.8000;380983.1000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250018_mp;NL27_250018_mp;TONGELREEP;161541.9000;372272.8000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250021_mp;NL27_250021_mp;BENEDEN-DOMMEL;160734.0000;397122.0000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;NL27_240025;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250025_mp;NL27_250025_mp;BENEDEN DOMMEL;148578.0000;409928.0000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;NL27_240025;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250027_mp;NL27_250027_mp;GROOTE WATERLOOP;154894.1000;396945.2000;M1a;Zoete gebufferde sloten;O;Overige watergangen;NL27_240027;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250037;NL27_250037;RUN;153549.0000;375379.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240035;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250037_mp;NL27_250037_mp;RUN;153549.0000;375379.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240035;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250057_mp;NL27_250057_mp;GROOTE AA;168067.5000;375164.2000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240057;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250060;NL27_250060;GENDER;154855.0000;378605.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240060;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250060_mp;NL27_250060_mp;GENDER;154855.1000;378604.9000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240060;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250061_mp;NL27_250061_mp;GENDER;158770.0000;381411.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240060;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250063_mp;NL27_250063_mp;EKKERSRIJT;162392.6000;390952.6000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240063;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250064;NL27_250064;EKKERSRIJT;157723.0000;388708.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240063;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250064_mp;NL27_250064_mp;EKKERSRIJT;157723.0000;388708.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240063;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250065;NL27_250065;GROOTE BEEK;160549.0000;389520.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240063;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;250065_mp;NL27_250065_mp;GROOTE BEEK;160549.0000;389520.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240063;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;251016_mp;NL27_251016_mp;BOVEN DOMMEL;163403.5000;386018.1000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;NL27_240025;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;251019_mp;NL27_251019_mp;BENEDEN DOMMEL;157687.6000;397255.1000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;NL27_240025;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;251100;NL27_251100;STRIJPER AA;166370.0000;372100.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240057;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;251100_mp;NL27_251100_mp;STRIJPER AA;166370.0000;372100.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240057;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;251101;NL27_251101;BUULDER AA;168732.0000;370304.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240057;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;251101_mp;NL27_251101_mp;BUULDER AA;168732.0000;370304.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240057;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;251104;NL27_251104;GROOTE WATERLOOP;153615.0000;396166.0000;M1a;Zoete gebufferde sloten;O;Overige watergangen;NL27_240027;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;251104_mp;NL27_251104_mp;GROOTE WATERLOOP;153615.1000;396166.4000;M1a;Zoete gebufferde sloten;O;Overige watergangen;NL27_240027;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;253020_mp;NL27_253020_mp;BENEDEN DOMMEL;152298.9000;405419.8000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;NL27_240025;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;254150;NL27_254150;AFWATERINGSKANAAL DOMMEL EINDHOVEN;159365.0000;382169.0000;M3;Gebufferde (regionale) kanalen;O;Overige watergangen;NL27_244150;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;254150_mp;NL27_254150_mp;AFWATERINGSKANAAL DOMMEL EINDHOVEN;159365.0000;382169.0000;M3;Gebufferde (regionale) kanalen;O;Overige watergangen;NL27_244150;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;254171;NL27_254171;EINDHOVENS KANAAL;165816.0000;382596.0000;M6a;Grote ondiepe kanalen zonder scheepvaart;O;Overige watergangen;NL27_244171;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;254171_mp;NL27_254171_mp;EINDHOVENS KANAAL;165815.5000;382595.5000;M6a;Grote ondiepe kanalen zonder scheepvaart;O;Overige watergangen;NL27_244171;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;E10-1;NL27_E10-1;Kleine Dommel_BOVENSTROOMS WEG STRABRECHT, HEEZE;168951.0000;377559.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240047;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;E10-3;NL27_E10-3;Kleine Dommel_BENEDENSTROOMS WEG DE RUL TE HEEZE;168865.0000;378806.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240047;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;E10-4;NL27_E10-4;Kleine Dommel_MEANDER BOVENSTROOMS WEG DE RUL TE HEEZE;168931.0000;378293.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240047;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;E11-1;NL27_E11-1;Sterkselsche Aa_TRAJECT BIJ KAPELLERPUT/LAMBREKVEN HEEZE;169602.0000;375723.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240047;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;E11-2;NL27_E11-2;Sterkselsche Aa_MEANDER BOVENSTROOMS KASTEEL TE HEEZE;169276.0000;376537.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240047;1;;2023-06-19T13:25:13+02:00
2016;27;Waterschap De Dommel;NL27;E16-1;NL27_E16-1;Tongelreep_BIJ MONDING DOMMEL;161142.0000;381869.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
