Meetjaar;WaterbeheerderCode;WaterbeheerderNaam;Namespace;Identificatie;MeetobjectCode;Omschrijving;GeometriePuntX_RD;GeometriePuntY_RD;KRWwatertypeCode;KRWwatertypeOmschrijving;WatergangCategorieCode;WatergangCategorieOmschrijving;HoortbijGeoobjectIdentificatie;Wegingsfactor;LigtInGeoobjectIdentificatie;PublicatieDatumTijd
2020;27;Waterschap De Dommel;NL27;240011;NL27_240011;Boven Dommel;157873.0000;364282.0000;R5;Langzaam stromende middenloop/benedenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240012;NL27_240012;BOVEN DOMMEL;158930.0000;372195.0000;R5;Langzaam stromende middenloop/benedenloop op zand;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240013;NL27_240013;BOVEN DOMMEL;157778.0000;379239.0000;R5;Langzaam stromende middenloop/benedenloop op zand;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240014;NL27_240014;Tongelreep;161902.0000;368184.0000;R5;Langzaam stromende middenloop/benedenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240015;NL27_240015;Tongelreep;161257.0000;381703.0000;R5;Langzaam stromende middenloop/benedenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240016;NL27_240016;Hooidonkse beek;163723.0000;390063.0000;M1a;Zoete gebufferde sloten;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240018;NL27_240018;TONGELREEP;161221.0000;371105.0000;R5;Langzaam stromende middenloop/benedenloop op zand;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240020;NL27_240020;Wateraanvoerkanaal St. Oedenrode;163891.0000;397713.0000;M1a;Zoete gebufferde sloten;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240021;NL27_240021;BENEDEN DOMMEL;159858.0000;397414.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240022;NL27_240022;AFWATERINGSKANAAL BOXTEL;151460.0000;401500.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240023;NL27_240023;BENEDEN DOMMEL;150737.0000;399670.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240025;NL27_240025;Midden- en Beneden Dommel;149008.0000;408854.0000;R6;Langzaam stromend riviertje op zand/klei;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240027;NL27_240027;Groote Waterloop;155618.0000;398199.0000;M1a;Zoete gebufferde sloten;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240028;NL27_240028;Beekse Waterloop;152928.0000;405182.0000;M1a;Zoete gebufferde sloten;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240031;NL27_240031;BEEKLOOP;155031.0000;366198.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);B;Secundaire watergang (categorie B);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240032;NL27_240032;BEEKLOOP;156080.0000;371050.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240034;NL27_240034;KEERSOP;155556.0000;370941.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240035;NL27_240035;Run;156045.0000;378161.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240036;NL27_240036;Keersop/Beekloop;157292.0000;374900.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240038;NL27_240038;BOSSCHERWEIJERLOOP;151587.0000;366305.0000;R3;Droogvallende langzaam stromende bovenloop op zand;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240039;NL27_240039;FORTJELOOP;151144.0000;365561.0000;R5;Langzaam stromende middenloop/benedenloop op zand;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240044;NL27_240044;STERKSELSCHE AA;169551.0000;376182.0000;R5;Langzaam stromende middenloop/benedenloop op zand;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240045;NL27_240045;Witte Loop/Peelrijt;174091.0000;377399.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240047;NL27_240047;Kleine Dommel/Sterkselse Aa;165523.0000;384099.0000;R5;Langzaam stromende middenloop/benedenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240048;NL27_240048;STERKSELSCH KANAAL;174544.0000;370285.0000;R5;Langzaam stromende middenloop/benedenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240049;NL27_240049;RIELLOOP;169231.0000;377801.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240051;NL27_240051;BOSCHLOOP;170223.0000;367610.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240053;NL27_240053;BUULDER AA;166729.0000;364194.0000;R5;Langzaam stromende middenloop/benedenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240055;NL27_240055;STRIJPER AA;164931.0000;366357.0000;R5;Langzaam stromende middenloop/benedenloop op zand;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240057;NL27_240057;Groote Aa/ Buulder Aa;168466.0000;376150.0000;R5;Langzaam stromende middenloop/benedenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240058;NL27_240058;TUNGELROYSCHE BEEK;171643.0000;360162.0000;R5;Langzaam stromende middenloop/benedenloop op zand;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240060;NL27_240060;Gender;154855.0000;378605.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240063;NL27_240063;Ekkersrijt;162253.0000;391000.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240070;NL27_240070;GOORLOOP;144355.0000;374188.0000;R5;Langzaam stromende middenloop/benedenloop op zand;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240071;NL27_240071;KOEVERTSCHE LOOP;148809.0000;396945.0000;M1a;Zoete gebufferde sloten;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240080;NL27_240080;DALEMSTROOMPJE;145838.0000;373353.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240081;NL27_240081;Kleine Beerze;146257.0000;385922.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240082;NL27_240082;GROOTE BEERZE;144864.0000;375802.0000;R5;Langzaam stromende middenloop/benedenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240083;NL27_240083;GROOTE BEERZE;143690.0000;384690.0000;R5;Langzaam stromende middenloop/benedenloop op zand;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240084;NL27_240084;KLEINE BEERZE;147982.0000;377350.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240085;NL27_240085;KLEINE BEERZE;146252.0000;388786.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240086;NL27_240086;GROOTE BEERZE;145636.0000;388753.0000;R5;Langzaam stromende middenloop/benedenloop op zand;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240087;NL27_240087;Groote Beerze;149201.0000;397760.0000;R5;Langzaam stromende middenloop/benedenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240088;NL27_240088;KLEINE AA (BOXTEL);148190.0000;399428.0000;R5;Langzaam stromende middenloop/benedenloop op zand;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240089;NL27_240089;GROOTE BEERZE;143998.0000;378330.0000;R5;Langzaam stromende middenloop/benedenloop op zand;;;;;;2021-06-09T14:25:40+02:00
2020;27;Waterschap De Dommel;NL27;240090;NL27_240090;KNUISTENKOEPELLOOP;150508.0000;397520.0000;R3;Droogvallende langzaam stromende bovenloop op zand;A;Primaire watergang (categorie A);;;;2021-06-09T14:25:40+02:00
