Meetjaar;WaterbeheerderCode;WaterbeheerderNaam;Namespace;Identificatie;MeetobjectCode;Omschrijving;GeometriePuntX_RD;GeometriePuntY_RD;KRWwatertypeCode;KRWwatertypeOmschrijving;WatergangCategorieCode;WatergangCategorieOmschrijving;HoortbijGeoobjectIdentificatie;Wegingsfactor;LigtInGeoobjectIdentificatie;PublicatieDatumTijd
2024;27;Waterschap De Dommel;NL27;240011;NL27_240011;;158445.0000;365303.0000;R5;Langzaam stromende middenloop/benedenloop op zand;A;Primaire watergang (categorie A);;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240013;NL27_240013;BOVEN DOMMEL;157778.0000;379239.0000;R5;Langzaam stromende middenloop/benedenloop op zand;;;;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240014;NL27_240014;;161902.0000;368184.0000;R5;Langzaam stromende middenloop/benedenloop op zand;A;Primaire watergang (categorie A);;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240015;NL27_240015;;161257.0000;381703.0000;R5;Langzaam stromende middenloop/benedenloop op zand;A;Primaire watergang (categorie A);;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240016;NL27_240016;;163723.0000;390063.0000;M1a;Zoete gebufferde sloten;B;Secundaire watergang (categorie B);;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240018;NL27_240018;TONGELREEP;161221.0000;371105.0000;R5;Langzaam stromende middenloop/benedenloop op zand;;;;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240020;NL27_240020;;163891.0000;397713.0000;M1a;Zoete gebufferde sloten;A;Primaire watergang (categorie A);;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240021;NL27_240021;BENEDEN DOMMEL;159858.0000;397414.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240022;NL27_240022;AFWATERINGSKANAAL BOXTEL;151460.0000;401500.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240023;NL27_240023;BENEDEN DOMMEL;150737.0000;399670.0000;R6;Langzaam stromend riviertje op zand/klei;;;;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240025;NL27_240025;;149008.0000;408854.0000;R6;Langzaam stromend riviertje op zand/klei;A;Primaire watergang (categorie A);;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240026;NL27_240026;OLLANDSE WATERLOOP;156568.0000;398979.0000;M1a;Zoete gebufferde sloten;;;;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240027;NL27_240027;;155618.0000;398199.0000;M1a;Zoete gebufferde sloten;B;Secundaire watergang (categorie B);;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240028;NL27_240028;;152928.0000;405182.0000;M1a;Zoete gebufferde sloten;B;Secundaire watergang (categorie B);;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240031;NL27_240031;BEEKLOOP;155031.0000;366198.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;B;Secundaire watergang (categorie B);;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240034;NL27_240034;KEERSOP;155556.0000;370941.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;B;Secundaire watergang (categorie B);;;;2025-04-02T08:06:25+02:00
2024;27;Waterschap De Dommel;NL27;240035;NL27_240035;;156045.0000;378161.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;B;Secundaire watergang (categorie B);;;;2025-04-02T08:06:25+02:00
